t;θ
0,000000E0;8,616632E1
8,333333E-2;8,559003E1
1,666667E-1;8,322145E1
2,500000E-1;8,082827E1
3,333333E-1;8,085169E1
4,166667E-1;8,061085E1
5,000000E-1;7,811134E1
5,833333E-1;7,599991E1
6,666667E-1;7,499212E1
7,500000E-1;7,446009E1
8,333333E-1;7,324425E1
9,166667E-1;7,142428E1
1,000000E0;7,165929E1
1,083333E0;6,942637E1
1,166667E0;6,842218E1
1,250000E0;6,573096E1
1,333333E0;6,383608E1
1,416667E0;6,084168E1
1,500000E0;5,916408E1
1,583333E0;5,877769E1
1,666667E0;6,056922E1
1,750000E0;6,144861E1
1,833333E0;6,227693E1
1,916667E0;6,263645E1
2,001667E0;6,262707E1
2,085000E0;6,256283E1
2,168333E0;6,176011E1
2,251667E0;6,296642E1
2,335000E0;6,270468E1
2,418333E0;6,196272E1
2,501667E0;6,229053E1
2,585000E0;6,075640E1
2,668333E0;6,116303E1
2,751667E0;6,101827E1
2,835000E0;5,947361E1
2,918333E0;5,934456E1
3,001667E0;5,887998E1
3,085000E0;5,743651E1
3,168333E0;5,680706E1
3,251667E0;5,589355E1
3,335000E0;5,584923E1
3,418333E0;5,614446E1
3,501667E0;5,622659E1
3,585000E0;5,722859E1
3,668333E0;5,602077E1
3,751667E0;5,618538E1
3,835000E0;5,527657E1
3,918333E0;5,352027E1
4,001667E0;5,205983E1
4,085000E0;5,089893E1
4,168333E0;5,174102E1
4,251667E0;5,298011E1
4,335000E0;5,190167E1
4,418333E0;5,241320E1
4,501667E0;5,199390E1
4,585000E0;5,065757E1
4,668333E0;5,032933E1
4,751667E0;4,938233E1
4,835000E0;5,048024E1
4,918333E0;5,094247E1
5,001667E0;5,094247E1
5,085000E0;5,192722E1
5,168333E0;5,185976E1
5,251667E0;4,998350E1
5,335000E0;4,926789E1
5,418333E0;4,895621E1
5,501667E0;4,944859E1
5,585000E0;5,077433E1
5,668333E0;5,007722E1
5,751667E0;5,005531E1
5,835000E0;5,005820E1
5,920000E0;5,025258E1
6,003333E0;5,069991E1
6,086667E0;5,062463E1
6,170000E0;5,148307E1
6,253333E0;5,183431E1
6,336667E0;5,001692E1
6,420000E0;4,943183E1
6,503333E0;4,844222E1
6,586667E0;5,003931E1
6,670000E0;5,048616E1
6,753333E0;5,035243E1
6,836667E0;5,105419E1
6,920000E0;4,996041E1
7,003333E0;4,997911E1
7,086667E0;5,054847E1
7,170000E0;5,079589E1
7,253333E0;5,209840E1
7,336667E0;5,157783E1
7,420000E0;4,953095E1
7,503333E0;4,933231E1
7,586667E0;4,933231E1
7,670000E0;4,988059E1
7,753333E0;5,043005E1
7,836667E0;4,999794E1
7,920000E0;5,114663E1
8,003333E0;5,126748E1
8,086667E0;5,134019E1
8,170000E0;5,151042E1
8,253333E0;5,099740E1
8,336667E0;4,951688E1
8,420000E0;4,933064E1
8,503333E0;4,999374E1
8,586667E0;4,971813E1
8,670000E0;4,956948E1
8,753333E0;4,944985E1
8,836667E0;4,931395E1
8,920000E0;4,840514E1
9,003333E0;4,979137E1
9,086667E0;4,963546E1
9,170000E0;5,029414E1
9,253333E0;5,099740E1
9,336667E0;5,087577E1
9,420000E0;5,250735E1
9,503333E0;5,138875E1
9,586667E0;5,029414E1
9,670000E0;4,919565E1
9,753333E0;4,785146E1
9,836667E0;4,822296E1
9,921667E0;4,857633E1
1,000500E1;4,823550E1
1,008833E1;4,991179E1
1,017167E1;4,926122E1
1,025500E1;5,052032E1
1,033833E1;5,013388E1
1,042167E1;4,882905E1
1,050500E1;4,748955E1
1,058833E1;4,702136E1
1,067167E1;4,780089E1
1,075500E1;4,919042E1
1,083833E1;4,776843E1
1,092167E1;4,869499E1
1,100500E1;4,894906E1
1,108833E1;4,938149E1
1,117167E1;5,041896E1
1,125500E1;4,929739E1
1,133833E1;4,816170E1
1,142167E1;4,743195E1
1,150500E1;4,663658E1
1,158833E1;4,814250E1
1,167167E1;4,878448E1
1,175500E1;4,946716E1
1,183833E1;5,077681E1
1,192167E1;5,009430E1
1,200500E1;5,035583E1
1,208833E1;5,065551E1
1,217167E1;4,888791E1
1,225500E1;4,885804E1
1,233833E1;4,822296E1
1,242167E1;4,915761E1
1,250500E1;4,995027E1
1,258833E1;4,899091E1
1,267167E1;5,001311E1
1,275500E1;4,958729E1
1,283833E1;5,007473E1
1,292167E1;5,023471E1
1,300500E1;4,958729E1
1,308833E1;4,819817E1
1,317167E1;4,786241E1
1,325500E1;4,752773E1
1,333833E1;4,896031E1
1,342167E1;4,844472E1
1,350500E1;4,856245E1
1,358833E1;4,982885E1
1,367167E1;5,013388E1
1,375500E1;5,053464E1
1,383833E1;4,929739E1
1,392333E1;4,751808E1
1,400667E1;4,706480E1
1,409000E1;4,543405E1
1,417333E1;4,620031E1
1,425667E1;4,598966E1
1,434000E1;4,631189E1
1,442333E1;4,674230E1
1,450667E1;4,663658E1
1,459000E1;4,433892E1
1,467333E1;4,445015E1
1,475667E1;4,399491E1
1,484000E1;4,533376E1
1,492333E1;4,654816E1
1,500667E1;4,633222E1
1,509000E1;4,788456E1
1,517333E1;4,686887E1
1,525667E1;4,907777E1
1,534000E1;4,809406E1
1,542333E1;4,676239E1
1,550667E1;4,566363E1
1,559000E1;4,544937E1
1,567333E1;4,533506E1
1,575667E1;4,689800E1
1,584000E1;4,556061E1
1,592333E1;4,544937E1
1,600667E1;4,331201E1
1,609000E1;4,260932E1
1,617333E1;4,375709E1
1,625667E1;4,251045E1
1,634000E1;4,068824E1
1,642333E1;4,182017E1
1,650667E1;4,097801E1
1,659000E1;4,342138E1
1,667333E1;4,375217E1
1,675667E1;4,443273E1
1,684000E1;4,580693E1
1,692333E1;4,534172E1
1,700667E1;4,579731E1
1,709000E1;4,488743E1
1,717333E1;4,285383E1
1,725667E1;4,230572E1
1,734000E1;4,159356E1
1,742333E1;4,284533E1
1,750667E1;4,307196E1
1,759000E1;4,272755E1
1,767333E1;4,362517E1
1,775667E1;4,351952E1
1,784167E1;4,488699E1
1,792500E1;4,578177E1
1,800833E1;4,432860E1
1,809167E1;4,308710E1
1,817500E1;4,221002E1
1,825833E1;4,241276E1
1,834167E1;4,410132E1
1,842500E1;4,388544E1
1,850833E1;4,455063E1
1,859167E1;4,590222E1
1,867500E1;4,826087E1
1,875833E1;5,226545E1
1,884167E1;5,937731E1
1,892500E1;7,206326E1
1,900833E1;7,394686E1
1,909167E1;7,524046E1
1,917500E1;8,071793E1
1,925833E1;8,407250E1
1,934167E1;8,609242E1
1,942500E1;8,830170E1
1,950833E1;9,015527E1
1,959167E1;9,140098E1
1,967500E1;9,314496E1
1,975833E1;9,459285E1
1,984167E1;9,627108E1
1,992500E1;9,897263E1
2,000833E1;9,920688E1
2,009167E1;9,997206E1
2,017500E1;1,016471E2
2,025833E1;1,016425E2
2,034167E1;1,020406E2
2,042500E1;1,018887E2
2,050833E1;1,020730E2
2,059167E1;1,022046E2
2,067500E1;1,022581E2
2,075833E1;1,022913E2
2,084167E1;1,019207E2
2,092500E1;1,021715E2
2,100833E1;1,021715E2
2,109167E1;1,022380E2
2,117500E1;1,018322E2
2,125833E1;1,022581E2
2,134167E1;1,021385E2
