t;θ
8,333333E-2;5,173387E1
1,666667E-1;5,176159E1
2,500000E-1;5,108401E1
3,333333E-1;5,174558E1
4,166667E-1;5,121835E1
5,000000E-1;5,197966E1
5,833333E-1;5,209943E1
6,666667E-1;5,073773E1
7,500000E-1;4,513609E1
8,333333E-1;4,152146E1
9,166667E-1;4,040455E1
1,000000E0;3,900523E1
1,083333E0;3,639639E1
1,166667E0;3,281559E1
1,250000E0;3,073326E1
1,333333E0;2,912043E1
1,416667E0;2,552970E1
1,500000E0;2,180141E1
1,583333E0;1,943472E1
1,666667E0;1,648728E1
1,750000E0;1,396637E1
1,833333E0;1,078430E1
1,916667E0;7,538058E0
2,000000E0;4,085617E0
2,083333E0;2,089467E0
2,166667E0;-1,617557E0
2,250000E0;-5,673022E0
2,333333E0;-8,469127E0
2,416667E0;-1,206131E1
2,500000E0;-1,553942E1
2,583333E0;-1,900698E1
2,666667E0;-2,323664E1
2,750000E0;-2,592131E1
2,833333E0;-3,083036E1
2,916667E0;-3,543635E1
3,000000E0;-3,758630E1
3,083333E0;-4,329324E1
3,166667E0;-4,775911E1
3,250000E0;-5,044033E1
3,333333E0;-5,604094E1
3,416667E0;-5,973656E1
3,500000E0;-6,517725E1
3,583333E0;-6,858165E1
3,666667E0;-7,259309E1
3,750000E0;-7,834071E1
3,835000E0;-8,255579E1
3,918333E0;-8,910638E1
4,001667E0;-9,219112E1
4,085000E0;-9,779208E1
4,168333E0;-1,052637E2
4,251667E0;-1,099416E2
4,335000E0;-1,176995E2
4,418333E0;-1,237999E2
4,501667E0;-1,269888E2
4,585000E0;-1,325707E2
4,668333E0;-1,373074E2
4,751667E0;-1,439365E2
4,835000E0;-1,501116E2
4,918333E0;-1,559283E2
5,001667E0;-1,637747E2
5,085000E0;-1,697208E2
5,168333E0;-1,736389E2
5,251667E0;1,796206E2
5,335000E0;1,742331E2
5,418333E0;1,678592E2
5,501667E0;1,618666E2
5,585000E0;1,567763E2
5,668333E0;1,501595E2
5,751667E0;1,446426E2
5,835000E0;1,388141E2
5,918333E0;1,312315E2
6,001667E0;1,267155E2
6,085000E0;1,211441E2
6,168333E0;1,151593E2
6,251667E0;1,098172E2
6,335000E0;1,030094E2
6,418333E0;9,821379E1
6,501667E0;9,287726E1
6,585000E0;8,539878E1
6,668333E0;8,090972E1
6,751667E0;7,262251E1
6,835000E0;6,705106E1
6,918333E0;6,197823E1
7,001667E0;5,375636E1
7,085000E0;4,873429E1
7,168333E0;4,365211E1
7,251667E0;3,616116E1
7,335000E0;3,204657E1
7,418333E0;2,669439E1
7,501667E0;2,167804E1
7,585000E0;1,466101E1
7,668333E0;8,413009E0
7,753333E0;3,795155E0
7,836667E0;-3,047812E0
7,920000E0;-1,060215E1
8,003333E0;-1,458892E1
8,086667E0;-2,169511E1
8,170000E0;-2,737619E1
8,253333E0;-3,302387E1
8,336667E0;-3,989179E1
8,420000E0;-4,486550E1
8,503333E0;-5,158459E1
8,586667E0;-5,724737E1
8,670000E0;-6,278389E1
8,753333E0;-7,043930E1
8,836667E0;-7,451264E1
8,920000E0;-8,037532E1
9,003333E0;-8,740649E1
9,086667E0;-9,298664E1
9,170000E0;-1,015646E2
9,253333E0;-1,071536E2
9,336667E0;-1,120210E2
9,420000E0;-1,199419E2
9,503333E0;-1,225249E2
9,586667E0;-1,283333E2
9,670000E0;-1,338392E2
9,753333E0;-1,393467E2
9,836667E0;-1,465989E2
9,920000E0;-1,521027E2
1,000333E1;-1,584799E2
1,008667E1;-1,644200E2
1,017000E1;-1,706459E2
1,025333E1;-1,766225E2
1,033667E1;1,783042E2
1,042000E1;1,720565E2
1,050333E1;1,651843E2
1,058667E1;1,603398E2
1,067000E1;1,541543E2
1,075333E1;1,480150E2
1,083667E1;1,436892E2
1,092000E1;1,360882E2
1,100333E1;1,358069E2
1,108667E1;1,240352E2
1,117000E1;1,186029E2
1,125333E1;1,137703E2
1,133667E1;1,064664E2
1,142000E1;9,996250E1
1,150333E1;9,427946E1
1,158667E1;8,844660E1
1,167000E1;8,283907E1
1,175500E1;7,677591E1
1,183833E1;7,061219E1
1,192167E1;6,393716E1
1,200500E1;5,734529E1
1,208833E1;5,172552E1
1,217167E1;4,433535E1
1,225500E1;3,857031E1
1,233833E1;3,414267E1
1,242167E1;2,839755E1
1,250500E1;2,461639E1
1,258833E1;1,705387E1
1,267167E1;1,096001E1
1,275500E1;6,621613E0
1,283833E1;-1,136296E0
1,292167E1;-7,557297E0
1,300500E1;-1,223279E1
1,308833E1;-1,906587E1
1,317167E1;-2,387528E1
1,325500E1;-3,107904E1
1,333833E1;-3,681220E1
1,342167E1;-4,268765E1
1,350500E1;-4,906632E1
1,358833E1;-5,400769E1
1,367167E1;-6,095468E1
1,375500E1;-6,747515E1
1,383833E1;-7,213589E1
1,392167E1;-7,852237E1
1,400500E1;-8,595551E1
1,408833E1;-9,114576E1
1,417167E1;-9,639277E1
1,425500E1;-1,022406E2
1,433833E1;-1,098453E2
1,442167E1;-1,160573E2
1,450500E1;-1,212899E2
1,458833E1;-1,285399E2
1,467167E1;-1,338392E2
1,475500E1;-1,378556E2
1,483833E1;-1,422457E2
1,492167E1;-1,505059E2
1,500500E1;-1,570511E2
1,508833E1;-1,619239E2
1,517167E1;-1,679316E2
1,525500E1;-1,749852E2
1,533833E1;1,794365E2
1,542167E1;1,741295E2
1,550500E1;1,675926E2
1,558833E1;1,620138E2
1,567167E1;1,558156E2
1,575667E1;1,499227E2
1,584000E1;1,437768E2
1,592333E1;1,364722E2
1,600667E1;1,314529E2
1,609000E1;1,257355E2
1,617333E1;1,190546E2
1,625667E1;1,133358E2
1,634000E1;1,066535E2
1,642333E1;1,017216E2
1,650667E1;9,543582E1
1,659000E1;9,019035E1
1,667333E1;8,447856E1
1,675667E1;7,702634E1
1,684000E1;7,198678E1
1,692333E1;6,567325E1
1,700667E1;5,849835E1
1,709000E1;5,379741E1
1,717333E1;4,697493E1
1,725667E1;4,086126E1
1,734000E1;3,569447E1
1,742333E1;2,794749E1
1,750667E1;2,303435E1
1,759000E1;1,876544E1
1,767333E1;1,210798E1
1,775667E1;6,737492E0
1,784000E1;-4,766594E-1
1,792333E1;-5,795532E0
1,800667E1;-1,173737E1
1,809000E1;-1,807422E1
1,817333E1;-2,286134E1
1,825667E1;-3,065370E1
1,834000E1;-3,641261E1
1,842333E1;-4,189502E1
1,850667E1;-4,907594E1
1,859000E1;-5,360756E1
1,867333E1;-6,046957E1
1,875667E1;-6,689012E1
1,884000E1;-7,229181E1
1,892333E1;-7,876556E1
1,900667E1;-8,388450E1
1,909000E1;-8,990482E1
1,917333E1;-9,717234E1
1,925667E1;-1,035513E2
1,934000E1;-1,088576E2
1,942333E1;-1,154310E2
1,950667E1;-1,208993E2
1,959000E1;-1,264327E2
1,967500E1;-1,314319E2
1,975833E1;-1,311494E2
1,984167E1;-1,313478E2
1,992500E1;-1,269838E2
2,000833E1;-1,276152E2
2,009167E1;-1,294294E2
2,017500E1;-1,288821E2
2,025833E1;-1,288370E2
2,034167E1;-1,289247E2
2,042500E1;-1,294810E2
2,050833E1;-1,284973E2
2,059167E1;-1,286303E2
2,067500E1;-1,283333E2
2,075833E1;-1,285399E2
2,084167E1;-1,285124E2
2,092500E1;-1,285862E2
2,100833E1;-1,282745E2
2,109167E1;-1,289840E2
2,117500E1;-1,289106E2
2,125833E1;-1,285713E2
2,134167E1;-1,285563E2
2,142500E1;-1,287497E2
2,150833E1;-1,288493E2
2,159167E1;-1,283924E2
2,167500E1;-1,281890E2
