,Angles,Times,RSSI,POS
0,0.252771822702627,1764757687.874991,"(24.572860717773438, 51.24854278564453, 265.2178955078125, 21.466537475585938)",18.0
1,-0.252771822702627,1764757688.0896118,"(30.312847137451172, 354.17718505859375, 19.65765380859375, 19.661714553833008)",15.4
2,0.3249923434748063,1764757688.2617323,"(15.744316101074219, 7.983908653259277, 380.18792724609375, 19.959487915039062)",9.8
3,0.252771822702627,1764757688.44972,"(10.804693222045898, 15.150764465332031, 358.6749267578125, 33.490657806396484)",5.7
4,-0.252771822702627,1764757688.6439667,"(18.222370147705078, 315.47314453125, 54.18605041503906, 55.22754669189453)",4.9
5,0.252771822702627,1764757688.8042107,"(12.036808013916016, 20.348297119140625, 321.40020751953125, 57.5346794128418)",4.9
6,0.252771822702627,1764757688.9841068,"(14.142509460449219, 19.911808013916016, 325.58514404296875, 56.31452178955078)",4.9
7,0.252771822702627,1764757689.1787837,"(13.901030540466309, 18.49416160583496, 342.9503173828125, 60.009117126464844)",5.0
8,0.252771822702627,1764757689.357065,"(11.235198974609375, 17.9293155670166, 353.0667724609375, 60.90886688232422)",5.5
9,0.252771822702627,1764757689.538838,"(12.521596908569336, 16.449556350708008, 354.3481750488281, 55.89726638793945)",6.9
10,0.252771822702627,1764757689.7309146,"(15.397859573364258, 13.09892463684082, 389.6884765625, 46.288177490234375)",9.6
11,0.252771822702627,1764757689.9132257,"(20.003223419189453, 10.168672561645508, 415.5782470703125, 37.21893310546875)",12.3
12,0.252771822702627,1764757690.1017096,"(25.002471923828125, 14.861030578613281, 415.0678405761719, 31.12965965270996)",14.5
13,0.252771822702627,1764757690.2900891,"(33.074745178222656, 28.83634376525879, 422.1125183105469, 21.78234100341797)",17.1
14,0.252771822702627,1764757690.4753892,"(34.715267181396484, 55.3712158203125, 402.69219970703125, 22.53023338317871)",19.6
15,0.18055130193044788,1764757690.661786,"(41.87298583984375, 95.75698852539062, 353.44427490234375, 17.99848175048828)",21.9
16,0.18055130193044788,1764757690.8416479,"(45.892799377441406, 121.54798889160156, 334.06890869140625, 20.991830825805664)",23.9
17,0.10833078115826877,1764757691.0337589,"(54.44257354736328, 172.96530151367188, 295.80377197265625, 18.336162567138672)",25.8
18,0.036110260386089665,1764757691.2162664,"(52.67347717285156, 202.064208984375, 271.4602966308594, 18.81851577758789)",27.3
19,0.036110260386089665,1764757691.4011712,"(49.03761291503906, 221.304931640625, 244.78411865234375, 17.22854232788086)",28.2
20,-0.03611026038608944,1764757691.5889306,"(45.499881744384766, 230.43019104003906, 223.18321228027344, 17.00491714477539)",29.0
21,-0.03611026038608944,1764757691.7765245,"(48.38948059082031, 228.01626586914062, 208.91549682617188, 16.49001121520996)",29.3
22,-0.03611026038608944,1764757691.9645832,"(49.83985137939453, 226.31362915039062, 210.25521850585938, 17.11252212524414)",29.4
23,-0.03611026038608944,1764757692.1533182,"(47.867183685302734, 244.27101135253906, 213.2750244140625, 17.717313766479492)",29.4
24,-0.03611026038608944,1764757692.3335836,"(48.18763732910156, 216.82232666015625, 219.17237854003906, 17.23916244506836)",29.4
25,-0.03611026038608944,1764757692.5153458,"(48.68319320678711, 209.1696319580078, 206.0624237060547, 16.334434509277344)",29.4
26,-0.03611026038608944,1764757692.7087374,"(50.445098876953125, 200.58331298828125, 201.47021484375, 17.212249755859375)",29.4
