,Angles,Times,RSSI,POS
0,0.252771822702627,1764758147.1388037,"(22.555831909179688, 30.21351432800293, 309.92608642578125, 74.87852478027344)",1.9
1,-0.03611026038608944,1764758147.3080504,"(23.58647918701172, 293.32318115234375, 288.17974853515625, 75.22312927246094)",1.9
2,0.252771822702627,1764758147.4714992,"(20.05489730834961, 28.574268341064453, 283.709716796875, 75.12831115722656)",1.9
3,0.252771822702627,1764758147.6668878,"(23.26010513305664, 28.215103149414062, 295.7682800292969, 70.21179962158203)",1.9
4,0.252771822702627,1764758147.8543649,"(20.452194213867188, 26.456623077392578, 270.20819091796875, 73.48515319824219)",2.3
5,0.252771822702627,1764758148.0487258,"(17.585948944091797, 25.453067779541016, 262.01263427734375, 68.92393493652344)",3.8
6,0.252771822702627,1764758148.222075,"(15.435480117797852, 17.663219451904297, 272.8006896972656, 57.701683044433594)",6.1
7,0.252771822702627,1764758148.404653,"(10.06982135772705, 8.417409896850586, 270.55889892578125, 31.63123321533203)",8.9
8,0.3249923434748063,1764758148.595243,"(10.06398868560791, 2.5052907466888428, 344.7364807128906, 26.454479217529297)",11.7
9,0.3249923434748063,1764758148.7764297,"(11.763578414916992, 0.4115982949733734, 299.29412841796875, 19.227367401123047)",14.0
10,0.3249923434748063,1764758148.9632456,"(14.566244125366211, 3.291888475418091, 335.55438232421875, 20.368946075439453)",16.5
11,0.252771822702627,1764758149.1493492,"(21.987001419067383, 16.13435935974121, 313.7652282714844, 18.909849166870117)",19.5
12,0.252771822702627,1764758149.338548,"(29.360000610351562, 40.17146301269531, 284.9212646484375, 20.564380645751953)",22.3
13,0.18055130193044788,1764758149.517703,"(41.870262145996094, 72.57754516601562, 256.2427978515625, 22.22075080871582)",24.6
14,0.10833078115826877,1764758149.70907,"(46.88346481323242, 120.90289306640625, 259.48077392578125, 24.72124671936035)",27.1
15,0.036110260386089665,1764758149.8965287,"(54.09215545654297, 175.177978515625, 235.59515380859375, 22.970272064208984)",28.8
16,-0.03611026038608944,1764758150.0807424,"(54.96510314941406, 209.14413452148438, 209.1689453125, 19.147357940673828)",30.0
17,-0.03611026038608944,1764758150.2717764,"(48.836524963378906, 214.20675659179688, 195.20240783691406, 17.322778701782227)",30.4
18,-0.03611026038608944,1764758150.451479,"(48.08536148071289, 189.93301391601562, 172.45567321777344, 18.064022064208984)",30.5
